title,station,price,info,img,phone
八家嘉苑 3室2厅 13500元,八家嘉苑,13500元/月,,"['https://image1.ljcdn.com/110000-inspection/c21eb911-b6eb-4d0e-8e37-f49c205d765c.jpg.600x450.jpg', 'https://image1.ljcdn.com/110000-inspection/e21aed71-0150-4db3-90fa-b0b328cfc0a9.jpg.600x450.jpg', 'https://image1.ljcdn.com/110000-inspection/e0c89e35-744d-489b-982c-522e13e8dac0.jpg.600x450.jpg', 'https://image1.ljcdn.com/110000-inspection/efc2f6ac-933a-463b-93c0-785bb87632a2.jpg.600x450.jpg', 'https://image1.ljcdn.com/110000-inspection/4845ebcd-bff5-4229-957a-5d0799256f13.jpg.600x450.jpg', 'https://image1.ljcdn.com/110000-inspection/8d49b3f8-24fa-438e-95b0-b7ac7dbe3f11.jpg.600x450.jpg', 'https://image1.ljcdn.com/110000-inspection/dd22da0e-d6ff-4d51-aaff-0507b2328070.jpg.600x450.jpg', 'https://image1.ljcdn.com/110000-inspection/aa00ffb0-a2ef-4c53-9741-d7fb861c9f2d.jpg.600x450.jpg', 'https://image1.ljcdn.com/x-se/110000-frame/294d5b3c-d683-4eee-a49b-9d1a7192e7165.png.600x450.jpg']",
晓月新城 2室1厅 5200元,晓月新城,5200元/月,,"['https://image1.ljcdn.com/110000-inspection/712f5f39-305a-4115-8e97-93af24342771.jpg.600x450.jpg', 'https://image1.ljcdn.com/110000-inspection/2df5594e-cf9c-45b9-8721-4a6159ce8d28.jpg.600x450.jpg', 'https://image1.ljcdn.com/110000-inspection/22629346-9283-4fd5-ac5e-ec55ab4d4c30.jpg.600x450.jpg', 'https://image1.ljcdn.com/110000-inspection/5b84d567-cd51-4860-b0e5-6cee8b79cf77.jpg.600x450.jpg', 'https://image1.ljcdn.com/110000-inspection/14d6a55b-72a1-4f0c-9e7f-9e0a08c02c6f.jpg.600x450.jpg', 'https://image1.ljcdn.com/110000-inspection/226178d9-f578-4138-8d38-b40456c6c28e.jpg.600x450.jpg', 'https://image1.ljcdn.com/x-se/hdic-frame/75a3b54c-12b5-4231-b278-96a6ffac3fb0.png.600x450.jpg']",
尚东庭，三层联排，可做员工宿舍，简单装修，直接入住,尚东庭,9800元/月,房源亮点尚东庭三层联排装修干净可以长租空房直接入住可做员工宿舍户型介绍本房南北通透四居室家具家电都有一层客厅餐厅二层三层四个卧室交通出行小区西300米是焦王庄北口站有667615824路公交车北200米是朝阳北路延长线距通燕高速耿庄路口29公里来自百度地图小区介绍小区东西500米有物美和福源精致购物超市向东500米有工商农业银行有龙旺庄卫生院三甲新华医院潞苑综合农贸市场东潞苑健身馆游泳馆距通州新城1500米来自百度地图,"['https://image1.ljcdn.com/110000-inspection/d2760154-870c-49c8-b27c-c7cffe55b443.jpg.600x450.jpg', 'https://image1.ljcdn.com/110000-inspection/b966fcfc-fb3c-4a5f-8bee-a3faf519adc0.jpg.600x450.jpg', 'https://image1.ljcdn.com/110000-inspection/58667b0a-c76c-4a8c-810a-b40eeee6ae4e.jpg.600x450.jpg', 'https://image1.ljcdn.com/110000-inspection/406a7516-30b8-41a8-9044-b1432dc68f98.jpg.600x450.jpg', 'https://image1.ljcdn.com/110000-inspection/d55fc92b-ae0a-4810-9dee-bbfa6d7dcc8a.jpg.600x450.jpg', 'https://image1.ljcdn.com/110000-inspection/ec8390f0-d687-4d2b-b46c-43f47d1069ab.jpg.600x450.jpg', 'https://image1.ljcdn.com/110000-inspection/82673d82-dca4-4505-9612-08b3bf9b417c.jpg.600x450.jpg', 'https://image1.ljcdn.com/110000-inspection/4bcbce80-b631-4a05-a41a-964359ef5e9f.jpg.600x450.jpg', 'https://image1.ljcdn.com/110000-inspection/3c51c9e3-e578-4925-ba9f-48b622ad2fc9.jpg.600x450.jpg', 'https://image1.ljcdn.com/110000-inspection/5ac45a86-84c9-49cf-b512-51860ec6241a.jpg.600x450.jpg', 'https://image1.ljcdn.com/110000-inspection/59c314cd-646c-43aa-af3a-40d57bccd448.jpg.600x450.jpg', 'https://image1.ljcdn.com/110000-inspection/bbf64d32-d82d-42d9-82aa-eb3bc90ac657.jpg.600x450.jpg', 'https://image1.ljcdn.com/110000-inspection/8f7728ef-fe59-4584-8c1d-3b791d343760.jpg.600x450.jpg', 'https://image1.ljcdn.com/110000-inspection/8cc3535e-9c3e-421e-a340-e4570fdf303a.jpg.600x450.jpg', 'https://image1.ljcdn.com/x-se/hdic-frame/97d60694-61c6-4d05-8137-09ae455d2ea9.png.600x450.jpg']",
新桥南大街23号院 2室1厅 3300元,新桥南大街23号院,3300元/月,,"['https://image1.ljcdn.com/110000-inspection/eb61ee8c-ffe3-4bca-8cca-422566e63f8d.jpg.600x450.jpg', 'https://image1.ljcdn.com/110000-inspection/c58facac-88bd-4fa0-82ed-56d1e902866f.jpg.600x450.jpg', 'https://image1.ljcdn.com/110000-inspection/98c2ba73-f9b5-4982-b964-6b454f05f96c.jpg.600x450.jpg', 'https://image1.ljcdn.com/110000-inspection/cdd18754-9772-46d8-8141-e249e1c5d428.jpg.600x450.jpg', 'https://image1.ljcdn.com/110000-inspection/76e60ec9-deff-4af7-8028-89d18dda2916.jpg.600x450.jpg', 'https://image1.ljcdn.com/110000-inspection/f9688e1a-d322-4785-9b3b-998382299b1f.jpg.600x450.jpg', 'https://image1.ljcdn.com/x-se/hdic-frame/7e4d05ae-2a16-41b5-b6e7-ed6c0928714a.png.600x450.jpg']",40083883368116
长城国际 1室0厅 3800元,长城国际,3800元/月,,"['https://image1.ljcdn.com/110000-inspection/dc6d113f-2e25-4224-881b-4f9d7dfb853e.jpg.600x_副本.jpg.600x450.jpg', 'https://image1.ljcdn.com/110000-inspection/dda1d02a-8cea-4cb2-a4be-6c626afd95f8.jpg.600x_副本.jpg.600x450.jpg', 'https://image1.ljcdn.com/110000-inspection/bca8a278-b444-4fa7-963c-ba7f645a0d4b.jpg.600x_副本.jpg.600x450.jpg', 'https://image1.ljcdn.com/110000-inspection/d6d06003-b6bd-4d9e-a4e4-5313f524b679.jpg.600x_副本.jpg.600x450.jpg', 'https://image1.ljcdn.com/x-se/hdic-frame/ab9efab1-1e9a-4673-aca7-f2a182458def.png.600x450.jpg']",40086022634080
今日可看德胜门马甸 南北朝向两居室家具家电齐拎包住,德胜门外大街1号院,7700元/月,房源亮点房屋位于中间楼层前后无遮挡东西齐拎包可住小区管理严格出租原因房东暂时不用此房打算往外出租希望租给爱惜房子的租客稳定长期出租交通出行小区门口就是德胜门外大街贯穿南北有马甸桥南公交车站出行方便,"['https://image1.ljcdn.com/110000-inspection/b9f07e4a-0a99-42b4-9ae1-d90e01f73c90.jpg.600x450.jpg', 'https://image1.ljcdn.com/110000-inspection/90ef0c61-c31d-434b-a289-963e7c14704a.jpg.600x450.jpg', 'https://image1.ljcdn.com/110000-inspection/d1e147e9-4c47-4636-bed4-56802380c9a8.jpg.600x450.jpg', 'https://image1.ljcdn.com/110000-inspection/92d31fd4-1cfb-4bad-990b-f3b8d66f943a.jpg.600x450.jpg', 'https://image1.ljcdn.com/110000-inspection/e5e423d5-6d55-4a9d-ad90-f5aaac16ba32.jpg.600x450.jpg', 'https://image1.ljcdn.com/110000-inspection/19afab53-214b-4ba8-bfee-42af10b4e812.jpg.600x450.jpg', 'https://image1.ljcdn.com/x-se/110000-frame/0bb67e54-7dc1-498c-a3a6-69640248b271.jpg.600x450.jpg']",40087909073528
角门西 南北通透三居室，家具家电全齐,丽水园,11000元/月,房源亮点此房为南北双通透正规三居室家具家电全齐业主可以长期出租小区中间位置安静适宜主卧客厅朝南视野开阔周边配套此房从小区南门和东门出去都有一个菜市场分别是中苑瑞丽生活超市和千百家农贸市场小区里多家便民超市药房理发店社区卫生服务站干洗店生活方便交通出行从小区本门出去到地铁角门西站四号线十号线换乘站的距离是567米来源于高德地图小区东门驾车往南可直接上四环住主路,"['https://image1.ljcdn.com/110000-inspection/f6a657bd-5b6e-4743-abb2-508e897b558c.jpg.600x450.jpg', 'https://image1.ljcdn.com/110000-inspection/2382e4e3-b4c6-4868-b638-8688a6abdd88.jpg.600x450.jpg', 'https://image1.ljcdn.com/110000-inspection/31f97b6f-d384-4b27-a247-e3521a3169a5.jpg.600x450.jpg', 'https://image1.ljcdn.com/110000-inspection/9706d470-0535-4192-9aba-20bd7c869de1.jpg.600x450.jpg', 'https://image1.ljcdn.com/110000-inspection/a7fe4a8f-e670-4e07-9c62-ddc1208c5996.jpg.600x450.jpg', 'https://image1.ljcdn.com/110000-inspection/cf0c5484-1f6f-4ca5-a8e5-86ea8fbff112.jpg.600x450.jpg', 'https://image1.ljcdn.com/110000-inspection/9a6c6383-2355-43ce-8cf0-cadd014df175.jpg.600x450.jpg', 'https://image1.ljcdn.com/110000-inspection/98bcf15e-1a63-4fce-9278-f95e4547d3ff.jpg.600x450.jpg', 'https://image1.ljcdn.com/x-se/hdic-frame/e24c33cc-fa4b-40ec-badc-234b103002e5.png.600x450.jpg']",40087686168022
江山赋 2室1厅 8000元,江山赋,8000元/月,,"['https://image1.ljcdn.com/110000-inspection/993a0491-b974-46a4-876f-7f2aa297c6e5.jpg.600x450.jpg', 'https://image1.ljcdn.com/110000-inspection/40819637-8f49-4225-a62f-6178cdb133a6.jpg.600x450.jpg', 'https://image1.ljcdn.com/110000-inspection/4a3bb40a-2854-4675-b5c8-7f28384e4aca.jpg.600x450.jpg', 'https://image1.ljcdn.com/110000-inspection/75656f79-f57b-4a33-b76e-e3b8a7873544.jpg.600x450.jpg', 'https://image1.ljcdn.com/110000-inspection/f26ee92a-2ab7-4830-9bf5-3ccee36ea585.jpg.600x450.jpg', 'https://image1.ljcdn.com/110000-inspection/005c8a31-92a2-46bc-bdbf-b39430ae6cce.jpg.600x450.jpg', 'https://image1.ljcdn.com/110000-inspection/3ba1f911-b78e-496b-8bd7-ccaec9df2857.jpg.600x450.jpg', 'https://image1.ljcdn.com/x-se/110000-frame/aff471dc-3bce-4def-9d1e-42f4f57152f5.jpg.600x450.jpg']",40089107578017
环境优美 伴山御景 交通便利 阜石路口,熙旺中心,3800元/月,交通出行小区最近公交站为侯庄子公交站370892929931941快959961977快981992快速公交4等公交周边配套此房位置繁华楼下是物美大卖场小区有滨河公园建设银行还有双峪菜市场另有交燃气的地方国信嘉业小区介绍此房所在的小区是2010建成的商品房小区环境优美交通方便,['https://image1.ljcdn.com/x-se/hdic-frame/fe2b2eb8-271f-4d7d-97f7-bcbd282d5fec.png.600x450.jpg'],
浩鸿园全南向带花园复式，临近地铁13号线可自住可办公,浩鸿园,35000元/月,房源亮点此房户型是浩鸿园为数不多的全南向复式带花园的房子更是少之又少一楼是大客厅加厨房加卫生间二楼是三间卧室加一间书屋加两个卫生间房子可办公可自住出租原因此房是业主多余房产长租没问题可居家自住可办公营业都没问题交通出行小区西小门外就是柳芳地铁站跟城铁柳芳公交总站小区南行约12公里上二环周边配套浩鸿园小区大门往北有三甲级煤炭总医院擅长骨科外科东有燕丰商场朝阳百货天虹商场家乐福国展店,"['https://image1.ljcdn.com/110000-inspection/291f2e50-0d19-4a3f-99a3-6b86bcbb3d4c.jpg.600x450.jpg', 'https://image1.ljcdn.com/110000-inspection/27602333-a86e-416e-aaf3-e81f9cfc4081.jpg.600x450.jpg', 'https://image1.ljcdn.com/110000-inspection/700c92e4-3f65-476a-8a11-a27fda39e2da.jpg.600x450.jpg', 'https://image1.ljcdn.com/110000-inspection/9bef0602-8fc7-406b-81d9-a792be8c077f.jpg.600x450.jpg', 'https://image1.ljcdn.com/110000-inspection/c81d0c05-6397-4f4a-9f81-78c982706bb9.jpg.600x450.jpg', 'https://image1.ljcdn.com/110000-inspection/0aa6efd5-44ac-4b56-8aca-a0b92113f12f.jpg.600x450.jpg', 'https://image1.ljcdn.com/110000-inspection/7c6a1222-9582-46ea-9900-b28d948fded8.jpg.600x450.jpg', 'https://image1.ljcdn.com/110000-inspection/84b86aad-c1a3-4290-8bb4-a63d537c238c.jpg.600x450.jpg', 'https://image1.ljcdn.com/110000-inspection/9d787b00-05e3-47a7-a3f2-f7d56c8649e2.jpg.600x450.jpg', 'https://image1.ljcdn.com/x-se/hdic-frame/d1641ac2-3842-4baf-bdb6-9b8144dd61e0.png.600x450.jpg']",
